Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
modern-3-seater-sofa,Modern 3-Seater Sofa,"<p>The Modern 3-Seater Sofa combines generous seating depth with structured tailored lines. Built upon a solid hardwood frame with resilient high-density cushioning and textured linen upholstery.</p><p><strong>Sample Specifications:</strong><br>Width: 86 in | Height: 32 in | Depth: 36 in | Primary Material: Solid Teak Frame &amp; Linen Blend Fabric.</p>",Caperino Furnitures & Interiors,Sofas,Living Room Furniture,"Living Room, Furniture, Featured, Sofa, New",TRUE,Color,Oatmeal Linen,Leg Finish,Walnut,CAP-SOF-001,shopify,8,deny,manual,95000,110000,TRUE,TRUE,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?auto=format&fit=crop&w=1000&q=80,1,Modern 3-Seater Sofa in Oatmeal,active
modern-3-seater-sofa,Modern 3-Seater Sofa,"<p>The Modern 3-Seater Sofa combines generous seating depth with structured tailored lines.</p>",Caperino Furnitures & Interiors,Sofas,Living Room Furniture,"Living Room, Furniture, Featured, Sofa, New",TRUE,Color,Charcoal Grey,Leg Finish,Walnut,CAP-SOF-002,shopify,5,deny,manual,95000,110000,TRUE,TRUE,https://images.unsplash.com/photo-1493663284031-b7e3aefcae8e?auto=format&fit=crop&w=1000&q=80,2,Modern 3-Seater Sofa in Charcoal,active
luxury-sectional-sofa,Luxury Sectional Sofa,"<p>An expansive L-shaped sectional sofa designed for comfort and hospitality. Featuring deep feather-blend down cushions and reinforced corner blocking.</p><p><strong>Sample Specifications:</strong><br>Width: 114 in | Height: 33 in | Depth: 68 in (Chaise) | Primary Material: Hardwood &amp; Performance Velvet.</p>",Caperino Furnitures & Interiors,Sectionals,Living Room Furniture,"Living Room, Furniture, Featured, Sectional, Best Seller",TRUE,Orientation,Right Facing,Color,Warm Taupe,CAP-SEC-001,shopify,4,deny,manual,165000,185000,TRUE,TRUE,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?auto=format&fit=crop&w=1000&q=80,1,Luxury Sectional Sofa in Warm Taupe,active
minimal-coffee-table,Minimal Coffee Table,"<p>Understated elegance handcrafted with solid oak timber and chamfered soft-curved edges. Finished with a durable natural protective matte sealant.</p><p><strong>Sample Specifications:</strong><br>Width: 48 in | Height: 16 in | Depth: 24 in | Primary Material: Solid White Oak.</p>",Caperino Furnitures & Interiors,Coffee Tables,Living Room Furniture,"Living Room, Furniture, Coffee Table, Featured",TRUE,Finish,Natural Oak,,,CAP-CFT-001,shopify,12,deny,manual,34000,39000,TRUE,TRUE,https://images.unsplash.com/photo-1533090161767-e6ffed986b88?auto=format&fit=crop&w=1000&q=80,1,Minimal Solid Oak Coffee Table,active
modern-tv-console,Modern TV Console,"<p>Featuring slatted sliding doors with concealed cable access passages and soft-close European hardware. Accommodates TVs up to 75 inches.</p><p><strong>Sample Specifications:</strong><br>Width: 72 in | Height: 22 in | Depth: 18 in | Primary Material: Walnut Veneer &amp; Solid Wood Legs.</p>",Caperino Furnitures & Interiors,Media Consoles,Living Room Furniture,"Living Room, Furniture, TV Unit, Featured",TRUE,Wood Finish,Dark Walnut,,,CAP-TVC-001,shopify,6,deny,manual,58000,65000,TRUE,TRUE,https://images.unsplash.com/photo-1595428774223-ef52624120d2?auto=format&fit=crop&w=1000&q=80,1,Modern Slatted TV Console,active
wooden-bed-frame,Wooden Bed Frame,"<p>Solid platform bed frame with an integrated architectural timber headboard and heavy-duty center slat supports eliminating the need for a box spring.</p><p><strong>Sample Specifications:</strong><br>Width: 76 in | Height: 44 in | Depth: 84 in | Primary Material: Solid Sheesham / Teak.</p>",Caperino Furnitures & Interiors,Beds,Bedroom Furniture,"Bedroom, Furniture, Bed, Featured, Best Seller",TRUE,Size,King,Finish,Natural Matte,CAP-BED-001,shopify,7,deny,manual,115000,130000,TRUE,TRUE,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1000&q=80,1,Wooden King Bed Frame,active
wooden-bed-frame,Wooden Bed Frame,"<p>Solid platform bed frame with an integrated architectural timber headboard.</p>",Caperino Furnitures & Interiors,Beds,Bedroom Furniture,"Bedroom, Furniture, Bed, Featured, Best Seller",TRUE,Size,Queen,Finish,Natural Matte,CAP-BED-002,shopify,9,deny,manual,98000,110000,TRUE,TRUE,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1000&q=80,2,Wooden Queen Bed Frame,active
modern-bedside-table,Modern Bedside Table,"<p>A dual-drawer bedside nightstand with seamless push-to-open drawer glides and rounded corner joinery.</p><p><strong>Sample Specifications:</strong><br>Width: 20 in | Height: 21 in | Depth: 16 in | Primary Material: Solid Teak.</p>",Caperino Furnitures & Interiors,Nightstands,Bedroom Furniture,"Bedroom, Furniture, Bedside Table",TRUE,Finish,Warm Teak,,,CAP-BST-001,shopify,15,deny,manual,18500,22000,TRUE,TRUE,https://images.unsplash.com/photo-1532372320572-cda25653a26d?auto=format&fit=crop&w=1000&q=80,1,Modern Bedside Table with Drawers,active
classic-dressing-table,Classic Dressing Table,"<p>Features three organizational drawers, a frameless arch vanity mirror, and matching cushioned vanity stool.</p><p><strong>Sample Specifications:</strong><br>Width: 46 in | Height: 58 in | Depth: 19 in | Primary Material: Hardwood &amp; Brass Pulls.</p>",Caperino Furnitures & Interiors,Vanities,Bedroom Furniture,"Bedroom, Furniture, Dressing Table",TRUE,Color,Smoked Oak,,,CAP-DRS-001,shopify,5,deny,manual,62000,70000,TRUE,TRUE,https://images.unsplash.com/photo-1595428774223-ef52624120d2?auto=format&fit=crop&w=1000&q=80,1,Classic Dressing Vanity Table,active
sliding-door-wardrobe,Sliding Door Wardrobe,"<p>A contemporary three-door wardrobe with smooth top-hung German sliding gear, interior LED lighting tracks, and configurable shelving.</p><p><strong>Sample Specifications:</strong><br>Width: 84 in | Height: 84 in | Depth: 24 in | Primary Material: Engineered Board with Fluted Wood Accents.</p>",Caperino Furnitures & Interiors,Wardrobes,Bedroom Furniture,"Bedroom, Furniture, Wardrobe",TRUE,Width,7 Feet (3 Doors),Finish,Walnut & Linen,CAP-WRD-001,shopify,3,deny,manual,145000,165000,TRUE,TRUE,https://images.unsplash.com/photo-1616486338812-3dadae4b4ace?auto=format&fit=crop&w=1000&q=80,1,Sliding Door Modern Wardrobe,active
six-seater-dining-table,Six-Seater Dining Table,"<p>Crafted from seasoned solid timber with an architectural trestle base that provides generous legroom for all seated guests.</p><p><strong>Sample Specifications:</strong><br>Width: 72 in | Height: 30 in | Depth: 36 in | Primary Material: Solid Teak Hardwood.</p>",Caperino Furnitures & Interiors,Dining Tables,Dining Furniture,"Dining, Furniture, Dining Table, Featured",TRUE,Wood Type,Solid Teak,,,CAP-DNT-001,shopify,6,deny,manual,88000,98000,TRUE,TRUE,https://images.unsplash.com/photo-1617806118233-18e1de247200?auto=format&fit=crop&w=1000&q=80,1,Solid Timber Six-Seater Dining Table,active
